pH,tds,turbidity,temperature,label
7.13,78.2,0.0,21.28,Safe
7.2,66.1,0.0,21.06,Safe
6.55,544.3,21.0,27.72,Unsafe
7.58,352.1,12.5,26.32,Unsafe
6.97,289.8,16.18,25.78,Unsafe
7.28,532.3,4.76,24.42,Unsafe
8.1,960.2,17.16,28.09,Unsafe
8.55,1111.5,10.05,23.49,Unsafe
7.1,226.4,7.28,24.19,Unsafe
7.59,294.0,30.03,24.95,Unsafe
6.79,174.6,0.0,24.63,Safe
6.61,256.3,10.9,24.36,Unsafe
7.62,107.7,1.43,22.92,Safe
6.92,175.5,2.26,20.87,Safe
9.31,1470.6,14.06,26.21,Unsafe
7.12,99.5,0.74,22.08,Safe
6.4,706.5,34.49,25.52,Unsafe
7.14,295.1,4.15,28.22,Unsafe
7.93,1000.7,32.22,26.81,Unsafe
6.81,135.6,2.58,21.14,Safe
6.97,126.7,1.95,20.64,Safe
7.31,862.7,0.54,25.2,Unsafe
6.98,149.5,2.0,25.16,Safe
8.76,2441.4,9.64,25.91,Unsafe
7.6,98.3,1.73,24.18,Safe
6.72,386.0,24.91,22.43,Unsafe
9.15,2106.7,11.97,26.22,Unsafe
6.85,97.2,1.54,22.28,Safe
7.12,504.2,16.27,25.48,Unsafe
6.87,188.2,0.52,20.41,Safe
8.19,1040.3,17.43,28.28,Unsafe
7.37,130.2,0.0,20.88,Safe
7.94,1094.4,16.95,27.29,Unsafe
7.45,485.9,28.35,22.06,Unsafe
7.02,118.9,1.92,21.73,Safe
6.91,404.6,9.62,25.68,Unsafe
7.19,107.4,0.62,19.09,Safe
7.08,388.7,5.15,24.76,Unsafe
9.19,1636.6,9.99,27.62,Unsafe
9.04,1893.3,9.68,25.7,Unsafe
7.16,529.4,13.54,22.41,Unsafe
7.54,155.4,1.11,24.72,Safe
6.92,357.5,21.13,25.18,Unsafe
6.75,91.5,0.0,17.73,Safe
7.18,557.0,34.18,25.74,Unsafe
7.33,623.4,5.05,21.96,Unsafe
8.57,2270.5,11.8,27.7,Unsafe
7.71,203.4,7.18,26.38,Unsafe
7.12,262.6,25.75,23.17,Unsafe
8.51,982.6,9.44,27.15,Unsafe
9.12,1521.6,14.32,26.04,Unsafe
8.35,1788.3,18.07,24.25,Unsafe
7.45,705.2,28.61,24.02,Unsafe
7.32,411.5,17.02,27.9,Unsafe
8.45,2092.3,22.27,27.11,Unsafe
7.27,72.8,0.49,21.87,Safe
7.58,547.6,0.93,26.32,Unsafe
8.07,537.0,1.7,26.96,Unsafe
7.72,632.2,1.91,25.83,Unsafe
7.69,224.6,6.33,23.71,Unsafe
7.84,1086.8,26.11,29.56,Unsafe
9.3,2040.5,15.26,25.58,Unsafe
8.96,2773.1,8.52,29.66,Unsafe
6.89,91.8,0.52,23.08,Safe
7.17,197.5,3.02,25.23,Safe
7.3,370.3,21.66,25.01,Unsafe
7.86,1132.4,21.41,26.48,Unsafe
7.32,98.7,1.12,25.41,Safe
8.25,1134.9,33.68,30.41,Unsafe
7.26,541.6,1.65,22.28,Unsafe
6.76,250.8,12.27,27.04,Unsafe
7.59,252.0,21.66,26.27,Unsafe
8.36,2105.6,14.46,25.31,Unsafe
8.57,1944.0,16.05,27.35,Unsafe
8.49,2157.8,16.97,26.2,Unsafe
7.07,135.9,1.13,22.57,Safe
6.82,100.0,0.07,22.08,Safe
6.93,575.9,26.82,25.69,Unsafe
7.28,82.2,0.78,19.98,Safe
7.22,555.0,18.15,24.94,Unsafe
7.47,144.9,0.58,20.88,Safe
6.31,317.6,29.19,24.96,Unsafe
6.78,139.4,1.32,20.92,Safe
7.86,663.7,1.27,26.54,Unsafe
7.97,833.7,0.74,25.25,Unsafe
6.93,115.7,0.92,22.7,Safe
8.34,1007.7,17.38,27.96,Unsafe
7.6,285.7,16.05,24.12,Unsafe
7.39,141.0,3.39,19.85,Safe
8.03,1007.8,23.58,28.23,Unsafe
7.23,504.2,0.39,26.43,Unsafe
7.17,479.4,14.92,28.68,Unsafe
8.28,922.2,27.5,26.97,Unsafe
6.94,423.9,7.36,26.76,Unsafe
8.22,2017.3,8.02,28.08,Unsafe
7.56,535.2,7.17,26.19,Unsafe
6.51,263.5,17.64,26.9,Unsafe
7.12,301.1,16.21,25.76,Unsafe
7.42,121.2,0.17,20.37,Safe
8.35,2087.2,7.5,28.21,Unsafe
7.17,63.0,0.82,20.31,Safe
9.24,1051.8,8.42,24.22,Unsafe
6.54,379.7,4.86,25.45,Unsafe
7.28,90.9,3.14,20.18,Safe
9.08,1640.6,12.94,25.58,Unsafe
7.28,885.8,3.12,26.05,Unsafe
7.03,94.7,2.64,25.85,Safe
8.21,403.7,1.73,26.24,Unsafe
7.89,1015.8,29.13,28.34,Unsafe
7.34,176.2,1.12,24.57,Safe
7.05,79.7,0.3,20.98,Safe
7.38,491.3,3.14,21.0,Unsafe
7.57,95.3,1.97,20.0,Safe
9.63,2751.8,24.1,24.73,Unsafe
6.27,499.4,25.12,25.22,Unsafe
7.01,510.9,22.64,25.44,Unsafe
6.8,87.9,0.0,18.24,Safe
6.92,102.4,1.51,22.7,Safe
7.51,170.2,2.72,21.33,Safe
8.23,1148.1,23.49,26.48,Unsafe
7.06,160.1,1.34,25.29,Safe
7.24,414.9,3.99,21.71,Unsafe
7.36,640.8,1.92,24.05,Unsafe
8.25,944.4,23.36,28.96,Unsafe
7.92,530.1,2.32,27.42,Unsafe
6.59,467.0,22.02,24.58,Unsafe
7.31,174.4,0.74,21.26,Safe
8.4,1733.9,12.0,26.74,Unsafe
6.72,406.8,8.24,23.17,Unsafe
7.32,490.4,1.5,26.1,Unsafe
7.37,459.8,26.13,22.69,Unsafe
7.17,595.3,11.16,27.33,Unsafe
6.67,725.3,25.84,27.39,Unsafe
7.89,416.7,4.0,27.1,Unsafe
7.19,88.1,1.66,19.58,Safe
7.0,442.7,18.93,23.06,Unsafe
7.89,479.1,0.91,28.39,Unsafe
7.54,164.4,1.52,20.38,Safe
7.61,468.9,14.61,22.55,Unsafe
7.37,741.2,16.24,27.13,Unsafe
7.45,472.9,14.31,21.3,Unsafe
9.06,1929.1,17.1,28.74,Unsafe
8.14,1051.7,29.0,27.04,Unsafe
7.27,487.9,29.94,23.39,Unsafe
8.16,1131.0,27.51,28.1,Unsafe
7.01,368.9,12.37,25.29,Unsafe
7.91,513.8,3.78,26.9,Unsafe
6.22,731.4,22.77,27.33,Unsafe
7.33,105.0,0.48,23.55,Safe
7.43,305.9,20.47,24.96,Unsafe
6.3,670.2,22.09,23.07,Unsafe
8.09,934.5,23.49,25.1,Unsafe
7.37,442.4,26.68,25.96,Unsafe
9.76,1984.1,10.84,27.71,Unsafe
8.1,680.4,3.84,25.34,Unsafe
6.7,574.4,28.42,26.08,Unsafe
7.13,122.6,0.66,21.6,Safe
7.17,413.8,10.02,27.19,Unsafe
8.84,1547.1,17.59,27.26,Unsafe
7.85,1146.4,18.49,25.53,Unsafe
6.88,118.7,0.39,20.27,Safe
6.55,410.8,12.35,27.11,Unsafe
7.55,168.7,1.65,23.06,Safe
7.52,108.5,0.85,22.53,Safe
7.61,466.4,11.27,27.53,Unsafe
8.32,1739.3,9.66,27.84,Unsafe
7.16,48.8,0.91,17.56,Safe
8.07,911.4,20.85,25.84,Unsafe
7.31,46.2,1.36,18.23,Safe
6.89,350.0,10.6,26.86,Unsafe
8.92,1360.0,20.81,27.91,Unsafe
8.6,1553.7,20.44,28.13,Unsafe
6.96,90.2,0.22,21.42,Safe
7.88,1013.8,25.4,27.47,Unsafe
8.86,1616.0,7.09,27.47,Unsafe
8.37,1933.4,17.8,29.07,Unsafe
7.29,532.0,5.66,27.72,Unsafe
7.63,417.6,4.75,26.85,Unsafe
7.1,532.5,27.14,24.14,Unsafe
7.65,548.4,1.34,22.21,Unsafe
6.58,453.2,21.74,27.82,Unsafe
6.74,55.9,1.74,19.08,Safe
6.76,147.2,1.83,25.65,Safe
7.28,161.7,1.67,22.83,Safe
8.1,404.6,4.82,22.83,Unsafe
8.19,1190.4,28.66,29.04,Unsafe
6.52,400.0,9.34,26.26,Unsafe
6.98,106.2,1.9,21.0,Safe
6.86,479.7,10.58,24.31,Unsafe
7.19,77.7,1.23,19.64,Safe
9.13,2434.0,12.95,29.29,Unsafe
7.29,422.5,2.4,25.11,Unsafe
7.16,391.8,16.27,23.59,Unsafe
6.84,324.1,7.32,25.84,Unsafe
7.14,87.7,0.0,22.68,Safe
7.6,389.8,5.31,24.9,Unsafe
7.34,465.3,14.16,26.39,Unsafe
7.45,553.0,4.15,24.87,Unsafe
7.04,115.7,0.5,20.47,Safe
7.1,478.4,8.53,23.92,Unsafe
6.67,324.7,8.4,23.29,Unsafe
6.94,98.7,1.78,25.21,Safe
7.58,108.4,1.95,20.39,Safe
7.34,462.3,7.38,25.45,Unsafe
7.19,410.6,29.44,27.64,Unsafe
7.05,235.5,7.39,27.03,Unsafe
7.41,611.0,4.28,25.49,Unsafe
6.31,430.2,11.23,27.07,Unsafe
7.01,126.5,0.44,20.23,Safe
7.46,636.6,8.94,22.1,Unsafe
6.65,248.5,14.31,25.07,Unsafe
7.4,151.4,1.4,24.79,Safe
6.84,205.8,0.93,24.24,Safe
7.29,368.2,8.21,24.61,Unsafe
9.12,1086.5,10.76,28.75,Unsafe
6.93,101.0,0.56,23.11,Safe
9.47,1362.7,18.81,25.49,Unsafe
7.85,1145.5,25.1,27.14,Unsafe
7.01,708.3,25.47,26.99,Unsafe
7.24,116.0,0.09,21.47,Safe
6.85,489.6,23.2,23.06,Unsafe
6.76,111.4,1.15,18.46,Safe
7.01,567.5,16.72,27.38,Unsafe
7.89,936.5,31.76,28.84,Unsafe
8.62,2165.8,22.02,28.64,Unsafe
8.12,787.0,4.93,27.47,Unsafe
7.25,626.3,13.64,25.98,Unsafe
6.99,369.4,11.57,23.84,Unsafe
6.63,381.8,30.1,27.73,Unsafe
7.24,129.4,0.73,23.35,Safe
8.42,2607.3,22.18,27.76,Unsafe
6.88,75.3,0.42,21.39,Safe
6.85,96.0,1.86,23.63,Safe
7.86,976.9,34.22,28.15,Unsafe
8.21,1044.9,20.8,26.11,Unsafe
8.12,2086.3,19.09,24.56,Unsafe
8.28,1053.3,32.11,29.04,Unsafe
6.75,418.0,15.07,26.4,Unsafe
7.02,285.4,7.74,26.47,Unsafe
7.14,52.6,0.75,22.32,Safe
7.28,660.3,18.58,28.13,Unsafe
9.0,2033.8,19.23,28.28,Unsafe
7.24,98.2,1.0,23.28,Safe
6.59,363.9,9.39,28.92,Unsafe
9.26,1907.1,10.83,25.2,Unsafe
7.04,65.0,0.88,17.74,Safe
8.11,914.6,20.85,26.33,Unsafe
8.14,434.5,1.1,27.08,Unsafe
6.88,93.5,0.04,22.26,Safe
7.16,417.6,13.55,27.3,Unsafe
8.25,878.1,2.13,22.68,Unsafe
9.46,2617.6,11.81,29.31,Unsafe
9.37,1445.3,16.86,23.52,Unsafe
9.19,1175.6,11.52,25.13,Unsafe
9.47,2165.9,17.16,26.3,Unsafe
6.59,492.8,24.09,23.07,Unsafe
9.16,1807.8,11.48,26.61,Unsafe
7.51,111.3,1.14,23.8,Safe
6.96,387.3,15.11,23.24,Unsafe
7.51,100.6,1.57,25.22,Safe
7.26,51.3,0.0,17.0,Safe
8.01,711.1,0.83,24.47,Unsafe
7.5,414.5,11.0,23.9,Unsafe
6.96,131.3,1.62,25.24,Safe
6.92,95.8,1.37,24.24,Safe
7.3,113.7,1.5,19.14,Safe
7.25,130.1,0.77,20.06,Safe
6.56,271.1,6.87,26.41,Unsafe
6.91,117.3,2.25,19.84,Safe
7.55,885.4,2.77,21.85,Unsafe
8.65,1741.6,10.26,29.91,Unsafe
8.5,1786.0,20.24,26.73,Unsafe
7.42,115.0,0.54,22.55,Safe
8.93,1294.3,15.53,24.49,Unsafe
7.19,132.4,3.14,25.11,Safe
7.4,125.2,1.79,24.26,Safe
7.73,808.3,2.13,24.26,Unsafe
7.43,404.4,26.85,23.52,Unsafe
7.35,619.8,1.46,26.61,Unsafe
7.56,98.5,2.08,22.24,Safe
6.62,630.3,29.49,23.56,Unsafe
7.5,153.4,0.89,25.68,Safe
8.46,1436.1,14.36,24.69,Unsafe
9.13,2653.5,8.47,28.72,Unsafe
8.0,935.8,22.79,26.39,Unsafe
7.57,296.0,14.43,23.44,Unsafe
8.43,2607.9,18.25,25.02,Unsafe
6.89,52.4,0.0,20.08,Safe
6.96,185.0,2.73,23.51,Safe
7.57,389.2,4.13,24.53,Unsafe
7.74,203.1,12.93,27.28,Unsafe
8.64,1803.0,11.84,24.72,Unsafe
7.49,122.2,1.63,24.75,Safe
7.42,37.1,0.65,20.58,Safe
7.18,126.5,0.77,24.64,Safe
6.74,478.2,15.97,24.22,Unsafe
6.6,244.6,11.62,24.05,Unsafe
7.04,100.5,0.2,22.81,Safe
7.17,75.1,1.2,22.69,Safe
8.11,917.7,22.44,27.73,Unsafe
7.04,100.6,1.61,25.4,Safe
7.47,129.0,1.09,23.44,Safe
8.35,2376.7,21.99,29.05,Unsafe
8.62,2532.5,17.5,28.41,Unsafe
7.06,100.2,0.58,22.91,Safe
8.21,752.0,1.47,25.8,Unsafe
6.95,92.2,0.0,18.45,Safe
7.27,516.5,14.88,25.73,Unsafe
7.12,68.0,0.71,22.47,Safe
8.06,1176.2,17.87,26.92,Unsafe
7.92,476.6,2.35,25.83,Unsafe
7.54,132.9,2.79,24.18,Safe
6.9,326.1,13.79,26.79,Unsafe
7.45,98.9,0.77,20.56,Safe
6.68,479.4,25.87,26.1,Unsafe
7.38,359.6,20.3,26.51,Unsafe
7.52,474.6,17.76,27.35,Unsafe
6.66,289.5,13.48,26.95,Unsafe
9.08,1143.2,13.53,24.21,Unsafe
7.5,43.6,0.21,21.02,Safe
8.03,1092.3,27.92,29.02,Unsafe
7.12,172.8,2.52,21.83,Safe
7.88,1186.5,32.22,28.37,Unsafe
8.25,1049.2,20.52,28.5,Unsafe
8.09,1088.8,16.77,25.93,Unsafe
9.34,1494.8,19.5,26.79,Unsafe
8.31,1922.8,21.93,28.87,Unsafe
7.61,246.6,5.32,21.76,Unsafe
7.65,159.2,3.36,25.77,Safe
8.4,2085.4,12.36,26.26,Unsafe
6.57,402.7,32.88,22.8,Unsafe
8.32,1178.3,33.47,30.09,Unsafe
8.78,1366.1,18.72,24.84,Unsafe
7.45,491.4,3.78,25.8,Unsafe
8.11,1109.7,14.32,26.24,Unsafe
8.38,1194.8,15.95,24.18,Unsafe
6.9,478.9,30.99,26.6,Unsafe
7.82,1061.2,22.5,28.92,Unsafe
8.64,1519.1,11.44,23.89,Unsafe
7.11,196.2,0.07,21.83,Safe
7.98,536.5,2.15,26.85,Unsafe
9.55,1691.7,9.43,26.52,Unsafe
8.29,1439.0,12.54,25.36,Unsafe
6.82,571.9,14.15,23.77,Unsafe
7.1,347.7,13.11,23.64,Unsafe
7.32,109.5,3.59,24.5,Safe
9.33,1334.0,24.7,27.72,Unsafe
6.85,133.6,2.28,26.36,Safe
7.1,186.2,1.5,24.36,Safe
9.25,1136.8,21.92,28.08,Unsafe
6.96,113.0,1.99,23.31,Safe
6.98,145.9,1.07,21.05,Safe
9.28,2712.8,8.54,28.23,Unsafe
9.73,1905.2,10.37,27.6,Unsafe
7.06,98.8,0.0,22.9,Safe
7.42,514.5,22.75,24.51,Unsafe
8.78,1578.3,8.16,24.92,Unsafe
7.3,259.8,12.07,27.3,Unsafe
7.03,383.3,23.62,23.49,Unsafe
6.99,259.1,13.58,25.72,Unsafe
8.4,942.9,13.16,27.57,Unsafe
6.44,371.4,34.29,23.16,Unsafe
7.55,139.8,3.48,23.15,Safe
6.61,452.2,6.03,25.61,Unsafe
6.74,539.4,15.92,27.54,Unsafe
8.68,1420.1,21.13,25.15,Unsafe
8.88,1868.4,8.75,25.52,Unsafe
6.58,573.4,28.22,24.77,Unsafe
6.81,299.1,19.85,24.14,Unsafe
6.77,86.2,0.8,21.76,Safe
8.16,1129.4,20.89,24.16,Unsafe
7.18,165.7,0.59,20.58,Safe
7.09,183.8,0.77,26.4,Safe
6.89,117.0,2.46,24.47,Safe
7.42,123.9,0.69,23.63,Safe
8.07,1130.4,10.59,27.12,Unsafe
7.49,107.7,1.9,21.16,Safe
7.36,600.7,18.15,25.85,Unsafe
6.98,289.5,16.77,27.05,Unsafe
8.56,1660.7,8.24,30.45,Unsafe
6.74,278.0,17.21,23.52,Unsafe
7.31,140.5,1.68,22.01,Safe
6.33,327.0,33.08,24.28,Unsafe
7.43,160.8,1.93,21.23,Safe
9.01,1002.9,20.38,24.33,Unsafe
8.3,697.7,1.7,22.14,Unsafe
8.25,1075.7,19.8,28.48,Unsafe
8.0,1102.4,29.21,28.89,Unsafe
7.32,111.7,0.75,22.13,Safe
8.94,2687.6,16.47,27.07,Unsafe
8.39,1531.1,13.31,24.4,Unsafe
8.02,993.8,19.59,28.37,Unsafe
6.6,336.7,17.71,24.79,Unsafe
7.03,178.0,1.96,22.81,Safe
7.5,673.3,2.4,26.17,Unsafe
7.25,113.1,1.64,23.3,Safe
6.87,181.5,0.56,24.96,Safe
6.9,160.3,0.48,19.97,Safe
8.09,2098.9,15.55,24.31,Unsafe
6.58,280.0,29.31,22.26,Unsafe
6.61,313.3,25.6,24.62,Unsafe
6.96,110.9,1.7,22.44,Safe
6.58,440.3,5.28,26.62,Unsafe
7.09,174.4,0.52,22.56,Safe
6.54,305.2,10.2,24.77,Unsafe
7.13,622.2,3.99,23.51,Unsafe
8.68,937.9,15.87,25.56,Unsafe
8.0,1072.0,23.11,28.08,Unsafe
8.22,1073.9,24.08,26.3,Unsafe
7.64,282.0,11.78,25.85,Unsafe
7.02,563.2,0.09,26.08,Unsafe
7.28,213.1,8.67,24.81,Unsafe
6.6,540.7,20.65,27.81,Unsafe
6.52,542.2,26.06,23.21,Unsafe
7.45,557.5,4.28,28.47,Unsafe
7.44,100.2,0.0,18.35,Safe
7.64,817.2,1.68,26.35,Unsafe
8.23,1039.0,23.25,27.58,Unsafe
8.26,1787.9,20.18,27.51,Unsafe
8.37,950.4,29.46,25.95,Unsafe
8.25,1058.2,29.17,28.56,Unsafe
7.33,260.6,26.16,21.57,Unsafe
7.33,86.6,1.96,26.08,Safe
7.11,110.8,0.57,24.78,Safe
7.64,529.3,1.02,27.21,Unsafe
9.04,2276.1,23.7,24.25,Unsafe
9.69,1669.3,11.89,28.49,Unsafe
7.81,971.0,20.02,27.34,Unsafe
8.26,945.1,15.1,29.76,Unsafe
6.8,374.8,21.69,22.97,Unsafe
8.06,1127.5,19.75,25.69,Unsafe
7.97,907.0,27.07,27.64,Unsafe
7.56,805.8,2.6,25.97,Unsafe
7.33,501.0,18.96,24.86,Unsafe
7.43,148.7,1.79,24.71,Safe
7.51,430.3,20.63,23.36,Unsafe
6.97,89.7,0.19,22.22,Safe
6.7,485.0,10.28,25.62,Unsafe
7.28,146.2,0.63,22.13,Safe
8.41,2433.6,24.49,26.43,Unsafe
8.65,1116.2,21.82,27.14,Unsafe
9.17,926.5,21.12,29.23,Unsafe
6.64,548.8,22.91,28.23,Unsafe
8.21,1122.6,26.59,29.21,Unsafe
6.84,87.3,0.45,22.82,Safe
7.07,181.4,1.3,25.04,Safe
6.71,250.1,11.75,27.02,Unsafe
6.8,132.7,1.75,24.15,Safe
7.46,599.3,26.02,23.63,Unsafe
7.72,372.0,5.38,26.5,Unsafe
6.95,43.8,0.58,20.42,Safe
6.97,143.8,1.38,22.85,Safe
7.24,499.5,12.74,23.35,Unsafe
9.53,1604.7,21.99,24.93,Unsafe
9.16,1675.6,18.9,27.25,Unsafe
6.94,347.5,11.43,25.14,Unsafe
6.49,413.5,24.11,25.18,Unsafe
6.93,582.8,28.83,26.56,Unsafe
7.87,1051.5,20.75,27.26,Unsafe
8.91,1739.9,9.26,27.09,Unsafe
7.02,484.7,17.39,24.23,Unsafe
6.81,109.3,1.45,21.94,Safe
7.47,70.5,0.0,19.25,Safe
7.51,163.3,0.72,21.95,Safe
6.66,85.6,0.75,22.69,Safe
8.32,1152.5,22.58,27.97,Unsafe
6.98,315.0,18.41,26.64,Unsafe
7.27,116.0,2.15,20.62,Safe
7.08,174.4,2.03,19.69,Safe
9.3,1970.2,17.95,26.99,Unsafe
7.23,583.9,4.99,25.89,Unsafe
7.68,243.0,4.8,26.7,Unsafe
6.46,552.9,5.28,21.44,Unsafe
6.72,422.4,29.13,23.19,Unsafe
6.96,124.2,4.45,24.13,Safe
7.6,294.0,5.19,26.29,Unsafe
6.93,184.0,2.74,21.57,Safe
9.06,1958.1,24.38,26.29,Unsafe
7.22,197.4,2.2,22.31,Safe
7.58,104.1,1.44,21.36,Safe
8.18,2495.2,13.88,29.03,Unsafe
6.44,480.0,23.2,27.33,Unsafe
7.14,133.0,1.52,24.22,Safe
7.29,97.6,0.67,19.05,Safe
7.97,1104.3,31.41,28.63,Unsafe
7.12,458.4,8.88,25.02,Unsafe
7.12,849.2,4.52,28.48,Unsafe
6.96,109.5,2.92,22.94,Safe
7.29,878.2,2.16,28.48,Unsafe
8.75,2586.1,20.5,23.81,Unsafe
7.52,174.2,1.93,24.22,Safe
7.48,323.4,9.23,23.94,Unsafe
8.05,495.4,0.99,23.44,Unsafe
7.44,82.5,2.21,24.46,Safe
6.66,369.8,28.18,23.47,Unsafe
7.51,102.6,2.23,21.64,Safe
8.27,2149.6,18.67,26.22,Unsafe
6.39,642.9,13.51,24.57,Unsafe
7.37,160.3,0.0,20.34,Safe
8.82,2449.8,7.93,27.23,Unsafe
6.97,188.0,0.37,22.93,Safe
7.85,1052.9,18.56,28.09,Unsafe
7.14,86.6,0.0,22.32,Safe
7.4,105.4,2.24,24.5,Safe
7.52,145.5,1.02,24.87,Safe
7.28,383.2,14.38,26.17,Unsafe
8.32,1351.4,10.33,24.57,Unsafe
8.87,2745.1,17.8,24.97,Unsafe
6.43,587.1,9.0,26.51,Unsafe
7.19,124.5,1.35,22.06,Safe
8.11,910.8,28.55,27.53,Unsafe
6.46,519.7,22.76,25.47,Unsafe
6.59,518.0,30.47,24.46,Unsafe
9.61,1378.1,10.08,30.0,Unsafe
7.08,133.4,2.08,24.95,Safe
7.41,143.0,1.13,22.66,Safe
6.88,397.4,13.86,25.65,Unsafe
9.45,1319.3,9.01,25.9,Unsafe
9.62,1808.1,17.12,25.76,Unsafe
6.88,172.8,1.94,21.99,Safe
7.12,132.0,1.15,20.86,Safe
8.81,1437.6,15.22,29.04,Unsafe
6.72,423.3,4.42,24.85,Unsafe
7.25,119.7,0.0,17.92,Safe
6.79,95.6,3.61,24.01,Safe
7.6,315.3,11.47,23.95,Unsafe
7.24,320.7,8.69,26.74,Unsafe
9.23,976.3,19.85,27.24,Unsafe
7.67,767.1,2.49,27.72,Unsafe
8.39,2215.3,10.52,27.46,Unsafe
6.7,490.9,13.35,24.16,Unsafe
6.78,380.7,23.84,23.07,Unsafe
7.19,581.3,11.54,26.49,Unsafe
7.17,137.5,1.81,22.91,Safe
6.34,610.1,17.08,26.37,Unsafe
6.94,151.0,1.42,24.04,Safe
9.26,2519.3,24.23,27.82,Unsafe
6.81,455.7,10.49,25.29,Unsafe
6.96,413.3,7.73,27.43,Unsafe
9.45,2157.2,13.42,24.09,Unsafe
8.21,1660.3,16.97,24.8,Unsafe
7.7,409.6,11.89,23.41,Unsafe
7.26,66.0,0.58,22.0,Safe
8.15,1723.1,10.01,26.38,Unsafe
7.43,48.6,0.92,21.78,Safe
6.67,84.6,1.31,21.84,Safe
7.8,484.6,4.69,25.88,Unsafe
8.57,1696.1,15.98,27.29,Unsafe
8.76,1698.0,10.44,26.55,Unsafe
7.93,1190.1,23.75,29.41,Unsafe
7.46,366.7,3.96,27.83,Unsafe
6.94,486.1,8.76,23.76,Unsafe
7.39,49.9,1.36,19.11,Safe
7.68,682.1,2.6,25.49,Unsafe
6.91,78.9,0.85,22.67,Safe
7.36,155.0,2.65,22.74,Safe
7.65,408.3,4.76,21.91,Unsafe
7.01,137.3,1.96,20.63,Safe
8.49,967.4,16.81,26.7,Unsafe
8.27,500.2,2.82,27.3,Unsafe
9.41,1992.5,10.86,27.86,Unsafe
6.76,134.0,0.3,22.3,Safe
6.45,534.5,8.16,23.81,Unsafe
8.32,2169.1,22.24,25.61,Unsafe
8.14,1023.1,26.07,26.81,Unsafe
7.37,165.9,3.16,25.76,Safe
