station,timestamp,pH,turbidity,temperature,specific_conductance,actual_deterioration,predicted_deterioration,prediction_probability,error_type
USGS-01649190,2024-02-03 03:05:00+00:00,7.5,1.9,6.9,512,1,0,0.023926718160510063,false_negative
USGS-01649190,2024-02-03 03:35:00+00:00,7.5,1.7,6.8,512,1,0,0.032363440841436386,false_negative
USGS-01649190,2024-02-03 08:45:00+00:00,7.5,1.8,5.9,511,1,0,0.03920483961701393,false_negative
USGS-01649190,2024-02-03 08:55:00+00:00,7.5,1.9,5.9,511,1,0,0.09718513488769531,false_negative
USGS-01649190,2024-02-03 09:40:00+00:00,7.5,2.0,5.7,511,1,0,0.035255223512649536,false_negative
USGS-01649190,2024-02-03 09:45:00+00:00,7.5,2.4,5.7,511,1,0,0.06892206519842148,false_negative
USGS-01649190,2024-02-03 09:55:00+00:00,7.5,2.5,5.7,511,1,0,0.16274493932724,false_negative
USGS-01649190,2024-02-03 10:15:00+00:00,7.5,2.0,5.6,511,1,0,0.0850895568728447,false_negative
USGS-01649190,2024-02-03 10:25:00+00:00,7.5,2.2,5.6,511,0,1,0.20837917923927307,false_positive
USGS-01649190,2024-02-03 13:30:00+00:00,7.5,1.7,5.0,510,1,0,0.13874007761478424,false_negative
USGS-01649190,2024-02-03 13:45:00+00:00,7.5,1.7,5.0,510,0,1,0.30108875036239624,false_positive
USGS-01649190,2024-02-03 20:40:00+00:00,7.5,1.5,6.5,504,0,1,0.2735956311225891,false_positive
USGS-01649190,2024-02-03 23:10:00+00:00,7.5,1.7,6.5,503,1,0,0.06597541272640228,false_negative
USGS-01649190,2024-02-03 23:20:00+00:00,7.5,1.7,6.5,503,0,1,0.24233435094356537,false_positive
USGS-01649190,2024-02-04 00:40:00+00:00,7.5,1.5,6.1,502,1,0,0.06574500352144241,false_negative
USGS-01649190,2024-02-04 06:20:00+00:00,7.4,1.4,5.1,502,1,0,0.1323358714580536,false_negative
USGS-01649190,2024-02-04 06:30:00+00:00,7.4,1.5,5.1,501,0,1,0.2026192545890808,false_positive
USGS-01649190,2024-02-04 09:05:00+00:00,7.4,1.3,4.6,500,1,0,0.17300951480865479,false_negative
USGS-01649190,2024-02-04 09:10:00+00:00,7.4,1.5,4.6,500,0,1,0.3314112722873688,false_positive
USGS-01649190,2024-02-04 09:15:00+00:00,7.4,1.6,4.6,500,0,1,0.30323952436447144,false_positive
USGS-01649190,2024-02-04 09:20:00+00:00,7.4,1.6,4.6,500,0,1,0.32252180576324463,false_positive
USGS-01649190,2024-02-04 09:30:00+00:00,7.4,1.5,4.5,500,1,0,0.0577944815158844,false_negative
USGS-01649190,2024-02-04 10:00:00+00:00,7.4,1.4,4.4,500,1,0,0.08545152097940445,false_negative
USGS-01649190,2024-02-04 10:05:00+00:00,7.4,1.6,4.4,500,0,1,0.2301354855298996,false_positive
USGS-01649190,2024-02-04 10:15:00+00:00,7.4,1.6,4.4,500,0,1,0.24454523622989655,false_positive
USGS-01649190,2024-02-04 10:25:00+00:00,7.4,1.5,4.4,500,1,0,0.16887183487415314,false_negative
USGS-01649190,2024-02-04 10:30:00+00:00,7.4,1.7,4.4,500,0,1,0.20003090798854828,false_positive
USGS-01649190,2024-02-04 11:10:00+00:00,7.4,1.5,4.2,500,0,1,0.20105291903018951,false_positive
USGS-01649190,2024-02-04 11:20:00+00:00,7.4,1.4,4.2,500,0,1,0.27760815620422363,false_positive
USGS-01649190,2024-02-04 11:25:00+00:00,7.4,1.4,4.2,500,0,1,0.22289448976516724,false_positive
USGS-01649190,2024-02-04 11:30:00+00:00,7.4,1.4,4.2,500,0,1,0.20850689709186554,false_positive
USGS-01649190,2024-02-04 12:05:00+00:00,7.4,1.4,4.1,497,0,1,0.2014894336462021,false_positive
USGS-01649190,2024-02-04 12:15:00+00:00,7.4,1.4,4.1,497,0,1,0.23618948459625244,false_positive
USGS-01649190,2024-02-04 12:30:00+00:00,7.4,1.4,4.0,497,0,1,0.25957679748535156,false_positive
USGS-01649190,2024-02-04 13:10:00+00:00,7.4,1.4,3.9,497,0,1,0.25911056995391846,false_positive
USGS-01649190,2024-02-04 13:45:00+00:00,7.4,1.4,3.9,497,0,1,0.24789485335350037,false_positive
USGS-01649190,2024-02-04 13:55:00+00:00,7.4,1.4,3.9,497,0,1,0.23401248455047607,false_positive
USGS-01649190,2024-02-04 14:15:00+00:00,7.4,1.4,3.9,496,0,1,0.2221376746892929,false_positive
USGS-01649190,2024-02-04 15:55:00+00:00,7.5,1.2,4.2,494,1,0,0.052111368626356125,false_negative
USGS-01649190,2024-02-04 16:00:00+00:00,7.5,1.4,4.3,494,0,1,0.23834626376628876,false_positive
USGS-01649190,2024-02-04 16:05:00+00:00,7.5,1.3,4.3,494,0,1,0.20670674741268158,false_positive
USGS-01649190,2024-02-04 16:25:00+00:00,7.5,1.2,4.4,496,0,1,0.30155858397483826,false_positive
USGS-01649190,2024-02-04 16:30:00+00:00,7.5,1.3,4.4,496,0,1,0.23976905643939972,false_positive
USGS-01649190,2024-02-04 16:40:00+00:00,7.5,1.2,4.5,495,0,1,0.26046451926231384,false_positive
USGS-01649190,2024-02-04 16:45:00+00:00,7.5,1.2,4.6,495,0,1,0.224571093916893,false_positive
